date,before,predict,real
2016-12-02,14.2,18,17.8
2016-11-04,19.1,17.5,16.1
2016-10-07,16.7,17.5,15.6
2016-09-02,27.5,18,15.1
2016-08-05,29.2,18,25.5
2016-07-08,1.1,17.5,28.7
2016-06-03,12.3,16.4,3.8
2016-05-06,20.8,20.2,16
2016-04-01,24.5,20.5,21.5
2016-03-04,17.2,19,24.2
2016-02-05,26.2,19,15.1
2016-01-08,25.2,20,29.2
2015-12-04,29.8,20,21.1
2015-11-06,13.7,18,27.1
2015-10-02,13.6,20.3,14.2
2015-09-04,24.5,22,17.3
2015-08-07,23.1,22.3,21.5
2015-07-02,28,23,22.3
2015-06-05,22.3,22.5,28
2015-05-08,8.5,22.8,22.3
2015-04-03,26.4,24.5,12.6
2015-03-06,20.1,23.5,29.5
2015-02-06,32.9,22.8,25.7
2015-01-09,42.3,24,25.2
2014-12-05,22.1,23,32.1
2014-11-07,25,23.5,21.4
2014-10-03,21.3,21.5,24.8
2014-09-05,24.9,23,14.2
2014-08-01,28.6,23,20.9
2014-07-03,23.6,21.5,28.8
2014-06-06,33,21.5,21.7
2014-05-02,22.5,21.8,28.8
2014-04-04,18.8,20,19.2
2014-03-07,16.6,15,17.5
2014-02-07,10.9,18,11.3
2014-01-10,31.7,19.7,7.4
2013-12-06,22.5,18.5,20.3
2013-11-08,15,12.5,20.4
2013-10-22,25.6,18,14.8
2013-09-06,16.4,18,16.9
2013-08-02,12.7,18.5,16.2
2013-07-05,21.9,16.6,19.5
2013-06-07,18.7,16.3,17.5
2013-05-03,11.5,14,16.5
2013-04-05,31.4,19,8
2013-03-08,20.5,16.5,23.6
2013-02-01,29.3,16.5,15.7
2013-01-04,16.4,15.2,15.5
2012-12-07,21.3,8.5,14.6
2012-11-02,14.4,12.5,17.1
2012-10-05,18.8,11.5,11.4
2012-09-07,17.7,13,9.6
2012-08-03,3.5,10,16.3
2012-07-06,11.3,10,8
2012-06-01,8.7,15,6.9
2012-05-04,21.6,16,11.5
2012-04-06,24.7,20.5,12
2012-03-09,38,21,22.7
2012-02-03,22.6,14,24.3
2012-01-06,14.6,15.5,20
2011-12-02,18.3,12.5,12
2011-11-04,22.3,9.5,8
2011-10-07,12.8,6,10.3
2011-09-02,11.7,6.8,0
2011-08-05,18.5,8.5,11.7
2011-07-08,10.3,10.5,1.8
2011-06-03,32.1,16.5,5.4
2011-05-06,20.6,18.5,24.4
2011-04-01,16.7,19,21.6
2011-03-04,7.5,19.6,19.2
2011-02-04,8.9,14.6,3.6
2011-01-07,12.1,15,10.3
2010-12-3,24.8,15,3.9
2010-11-5,-4.9,6,15.1
2010-10-8,-3.9,-0.5,-9.5
2010-09-3,-6.4,-10.5,-5.4
2010-08-6,-13,-6.5,-13.1
2010-07-2,51.8,-13,-12.5
2010-06-4,24.7,53.6,43.1
2010-05-7,16.1,19,29
2010-04-2,-6.8,18.4,16.2
2010-03-5,3.2,-6.8,-3.6
2010-02-05,-28.3,1.5,-2
2010-01-08,-0.6,0,-8.5
2009-12-04,-20.1,-12.5,-1.1
2009-11-06,-22.7,-17.5,-19
2009-10-02,-21.7,-17.5,-26.3
2009-09-04,-32.5,-23,-21.6
2009-08-07,-46.7,-32.5,-24.7
2009-07-02,-35.5,-36.5,-46.7
2009-06-05,-68.4,-52,-34.5
2009-05-08,-82.4,-60,-53.9
2009-04-03,-70.3,-66,-66.3
2009-03-06,-79.6,-65,-65.1
2009-02-06,-69.6,-54,-59.8
2009-01-09,-76.5,-52.5,-52.4
